"id", "appointment_date", "appointment_time", "description", "duration", "status"
1, "2023-10-19", "10:00", "Revisión anual de Buddy", "30", "available"
2, "2023-10-21", "14:30", "Esterilización de Luna", "120", "available"
3, "2023-10-23", "09:45", "Desparasitación de Rocky", "15", "available"
4, "2023-10-25", "11:15", "Cirugía de emergencia para Coco", "90", "not_available"
5, "2023-10-27", "13:00", "Radiografía para Mia", "45", "available"
6, "2023-10-29", "15:30", "Tratamiento dental para Simba", "60", "available"
7, "2023-10-31", "17:45", "Quimioterapia para Bella", "75", "available"
8, "2023-11-02", "10:30", "Fisioterapia para Max", "30", "not_available"
9, "2023-11-04", "12:00", "Análisis de sangre para Milo", "60", "available"
10, "2023-11-06", "16:15", "Ecografía para Lola", "45", "available"